ST,STATE,ST_ABBR,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
48,Texas,TX,73960,ZCTA5 73960,0.606347322166,7,8,13,11,7,8,7,8,0,15,0,30,7,8,0,15,7,8,0,15,7,8,0,21,0,60,0,11,0,21,0,15,0,21,0,15,0,15,100.0,0.0,-999.0,-999.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.9948,-999.0,0.0,0.9979,0.0,-999.0,-999.0,0.9938,0.0,0.9995,0.0,0.0,1.9933,0.2187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,1,-999,0,1,0,-999,1,0,1,0,0,2,0,0,0,0,0,0,0,0,-999,237,7,8,0,15,0,15,0,15,0,15,0,15,0,15,0,15,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
48,Texas,TX,75001,ZCTA5 75001,3.752404874176,16633,139,10370,556,9355,540,2944,579,400,142,3219,514,594,231,3134,724,1520,321,1908,319,911,238,454,188,1222,489,9517,715,6447,624,0,23,392,159,262,124,0,23,17.7,3.5,3.3,1.2,34.4,5.1,4.6,1.8,18.9,4.4,9.1,1.9,11.5,1.9,5.5,1.4,4.9,2.0,7.7,3.1,57.2,4.3,62.1,5.0,0.0,0.5,4.2,1.7,2.8,1.3,0.0,0.1,0.3494,0.3678,0.8692,0.1624,0.6295,2.3783,0.4747,0.1475,0.1102,0.0563,0.4524,0.8069,1.5733,0.0878,0.6579,0.6579,0.6579,0.9833,0.0,0.6369,0.4088,0.0,2.029,0.361,6.6385,0.3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,58274,540,205,2927,700,4523,663,1207,334,68,90,0,23,691,304,101,114,5.8,2.3,17.6,4.2,27.2,4.0,7.3,2.0,0.4,0.5,0.0,0.3,4.2,1.8,0.6,0.7
48,Texas,TX,75002,ZCTA5 75002,37.579847430596,72679,2053,23724,715,22731,666,6446,1909,1732,379,4500,646,2320,549,6158,1420,7890,832,18934,1273,5537,664,930,270,2130,547,31468,3002,1722,368,129,110,495,195,353,157,228,8,8.9,2.6,4.6,1.0,19.8,2.8,5.0,1.2,8.5,1.9,10.9,1.2,26.1,1.6,7.6,0.9,4.1,1.2,3.1,0.8,43.3,3.9,7.3,1.5,0.5,0.5,2.1,0.9,1.6,0.7,0.3,0.0,0.1228,0.5408,0.4293,0.1759,0.1668,1.4356,0.1589,0.2231,0.646,0.1183,0.3705,0.5751,1.933,0.1845,0.5072,0.5072,0.5072,0.7204,0.1622,0.3768,0.2775,0.5052,2.0421,0.3657,5.9179,0.2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55093,830,289,9346,2603,9392,1454,7492,1186,104,110,0,35,4706,1347,428,351,3.7,1.3,12.9,3.5,12.9,2.0,10.3,1.7,0.1,0.2,0.0,0.1,6.5,1.8,0.6,0.5
48,Texas,TX,75006,ZCTA5 75006,17.072483331794,48062,587,19226,677,18491,690,7523,1068,1057,283,5383,657,5468,655,10023,1034,6619,639,10738,814,3467,529,953,254,5197,788,32173,1406,4743,579,28,26,990,255,568,181,341,6,15.8,2.2,3.7,1.0,29.1,3.4,16.6,1.9,21.0,2.1,13.8,1.3,22.3,1.6,7.3,1.1,5.2,1.4,11.5,1.7,66.9,2.8,24.6,2.9,0.1,0.1,5.4,1.4,3.1,0.9,0.7,0.0,0.288,0.4253,0.7578,0.616,0.715,2.8021,0.613,0.3923,0.3929,0.1084,0.4735,0.8742,2.2413,0.3412,0.7396,0.7396,0.7396,0.8993,0.0949,0.7215,0.4425,0.6242,2.7824,0.6416,8.5654,0.6114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101730,1884,366,4348,672,23200,1527,3380,709,25,25,2,10,1082,368,136,177,10.2,1.9,9.0,1.4,48.3,3.0,7.0,1.5,0.1,0.1,0.0,0.1,2.3,0.8,0.3,0.4
48,Texas,TX,75007,ZCTA5 75007,11.906417722286,54498,1394,20990,649,20170,568,6905,1018,1215,233,4779,556,3469,503,7102,1103,7381,587,9822,693,5241,546,1065,227,2757,519,30707,1933,2753,392,68,60,652,217,1001,280,265,26,12.7,1.8,3.6,0.7,23.7,2.7,8.7,1.2,13.0,1.9,13.5,1.1,18.0,1.1,9.6,1.0,5.3,1.1,5.3,1.0,56.3,3.2,13.2,1.8,0.3,0.3,3.3,1.1,5.0,1.4,0.5,0.0,0.2135,0.4086,0.5885,0.315,0.3564,1.882,0.2994,0.3773,0.2164,0.2168,0.485,0.722,2.0175,0.235,0.6496,0.6496,0.6496,0.8138,0.1362,0.5434,0.6437,0.5766,2.7137,0.6122,7.2628,0.4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46527,1046,269,4429,826,14992,1616,8690,1184,57,39,408,258,1802,341,329,191,5.2,1.3,8.1,1.5,27.5,2.8,15.9,2.1,0.1,0.1,0.7,0.5,3.3,0.6,0.6,0.3
48,Texas,TX,75009,ZCTA5 75009,98.715145060014,28109,2139,8765,710,8507,692,2295,1282,699,305,817,362,865,548,2961,1397,3739,1194,8393,925,2637,780,285,220,928,600,9758,2757,0,39,562,361,115,96,52,76,117,5,8.2,4.5,4.9,2.1,9.6,4.2,4.8,2.9,10.6,4.9,13.3,4.0,29.9,2.3,9.4,2.7,3.4,2.6,3.5,2.3,34.7,9.4,0.0,0.4,6.4,3.9,1.4,1.1,0.6,0.9,0.4,0.0,0.1065,0.5857,0.1282,0.1661,0.246,1.2325,0.1072,0.3659,0.8458,0.2048,0.3216,0.6097,2.3478,0.4022,0.3996,0.3996,0.3996,0.0,0.4011,0.2916,0.1855,0.5404,1.4186,0.1923,5.3985,0.1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11791,622,381,1442,555,4671,1320,1528,688,183,129,61,88,1830,656,43,73,7.3,4.3,5.1,2.0,16.6,4.4,5.4,2.4,0.7,0.5,0.2,0.3,6.5,2.1,0.2,0.3
48,Texas,TX,75010,ZCTA5 75010,6.81229102352,31609,1224,13569,557,12616,564,2698,589,830,255,3244,526,1326,296,3089,542,3234,481,6209,679,2477,509,755,229,1928,454,19134,1746,4369,599,48,63,492,216,283,109,134,6,8.6,1.8,4.1,1.3,25.7,4.0,5.8,1.3,9.8,1.7,10.2,1.5,19.6,1.9,7.9,1.6,6.0,1.8,6.5,1.5,60.5,5.0,32.2,4.2,0.4,0.5,3.9,1.7,2.2,0.8,0.4,0.0,0.1159,0.4744,0.6537,0.2055,0.2142,1.6637,0.2302,0.1951,0.266,0.1282,0.5465,0.7728,1.9086,0.1725,0.6905,0.6905,0.6905,0.9369,0.1497,0.6096,0.3442,0.5404,2.5808,0.5612,6.8436,0.3659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,25964,434,188,4940,798,4674,979,8490,1236,86,75,39,56,850,290,55,54,3.4,1.5,15.6,2.4,14.8,3.1,26.9,3.7,0.3,0.2,0.1,0.2,2.7,0.9,0.2,0.2
48,Texas,TX,75013,ZCTA5 75013,15.043372919646,46649,2009,17551,898,16562,795,3627,1217,916,327,3228,661,1202,421,2701,998,4657,703,11953,893,2159,466,777,283,1142,439,23402,2966,4765,727,58,79,670,315,444,268,113,11,7.8,2.6,3.4,1.2,19.5,3.9,3.9,1.4,5.8,2.1,10.0,1.5,25.6,1.7,4.6,1.0,4.7,1.7,2.6,1.0,50.2,6.0,27.2,3.9,0.3,0.5,4.0,1.9,2.7,1.6,0.2,0.0,0.1007,0.3819,0.4157,0.1391,0.099,1.1364,0.094,0.1848,0.6077,0.0417,0.4351,0.5192,1.7885,0.1351,0.5947,0.5947,0.5947,0.9165,0.1362,0.6195,0.3983,0.4705,2.541,0.5423,6.0606,0.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,41607,179,108,3326,960,4276,890,13912,1487,14,16,11,30,1436,421,427,498,1.1,0.6,7.1,2.0,9.2,1.9,29.8,3.1,0.0,0.1,0.0,0.1,3.1,0.9,0.9,1.1
48,Texas,TX,75019,ZCTA5 75019,17.186525893431998,44706,528,17329,534,16923,496,2407,613,462,165,2470,418,774,218,2050,463,4228,408,12248,673,2432,323,1155,268,1284,350,24071,1329,2898,474,233,107,170,89,330,146,48,5,5.4,1.4,1.8,0.7,14.6,2.4,2.6,0.7,4.6,1.0,9.5,0.9,27.4,1.5,5.4,0.7,6.8,1.6,3.1,0.8,53.8,2.9,16.7,2.7,1.3,0.6,1.0,0.5,2.0,0.8,0.1,0.0,0.0672,0.2179,0.2412,0.097,0.0771,0.7004,0.0401,0.1615,0.7267,0.0542,0.6122,0.5751,2.1297,0.286,0.6325,0.6325,0.6325,0.8472,0.2285,0.2486,0.3169,0.4141,2.0553,0.3694,5.5179,0.1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75361,584,178,2367,671,6257,931,13942,1113,13,16,59,56,1319,459,114,93,3.5,1.0,5.3,1.5,14.0,2.1,31.2,2.4,0.0,0.1,0.1,0.1,3.0,1.0,0.3,0.2
48,Texas,TX,75020,ZCTA5 75020,61.026258177496,24486,1176,10780,547,9509,566,5978,1060,608,269,2334,399,1416,327,4083,785,4711,523,6256,726,4055,528,698,220,373,173,5837,1614,857,230,515,165,521,209,455,137,456,16,24.9,4.2,5.5,2.5,24.5,3.9,8.7,1.9,16.9,2.9,19.2,2.0,25.5,2.4,16.8,2.1,7.3,2.3,1.6,0.8,23.8,6.5,7.9,2.1,4.8,1.5,5.4,2.2,4.8,1.4,1.9,0.1,0.5797,0.663,0.619,0.315,0.5446,2.7213,0.5845,0.6682,0.6009,0.6707,0.6532,0.397,2.99,0.7687,0.2516,0.2516,0.2516,0.7298,0.3526,0.7215,0.6227,0.7852,3.2118,0.8203,9.1747,0.7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28975,1454,292,1591,468,2619,774,79,74,133,67,0,28,1363,374,52,62,15.3,2.9,6.5,1.9,10.7,3.1,0.3,0.3,0.5,0.3,0.0,0.2,5.6,1.5,0.2,0.3
